,level_0,Unnamed: 0,index,team_name,team_id,color,logo,team_location
0,0,0,0,USC,30,#9e2237,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,USC
1,1,1,1,SJSU,23,#005893,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,San José State
2,2,2,2,ND,87,#0c2340,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,Notre Dame
3,3,3,3,NAVY,2426,#00225b,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,Navy
4,4,4,4,JVST,55,#b50500,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,Jacksonville State
5,5,5,5,UTEP,2638,#ff8200,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,UTEP
6,6,6,6,NMSU,166,#891216,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,New Mexico State
7,7,7,7,MASS,113,#880007,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png,Massachusetts
8,8,8,8,SDSU,21,#c41230,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,San Diego State
9,9,9,9,OHIO,195,#295A29,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png,Ohio
10,10,10,10,LT,2348,#002d65,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,Louisiana Tech
11,11,11,11,FIU,2229,#001538,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,Florida International
12,12,12,12,VAN,238,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,Vanderbilt
13,13,13,13,HAW,62,#003420,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,Hawai'i
14,14,14,14,UTAH,254,#ea002a,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,Utah
15,15,15,15,FLA,57,#0021a5,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,Florida
16,16,16,16,WAKE,154,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,Wake Forest
17,17,17,17,ELON,2210,#020303,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,Elon
18,18,18,18,UCF,2116,#000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,UCF
19,19,19,19,KENT,2309,#003976,https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,Kent State
20,20,20,20,GAST,2247,#1e539a,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,Georgia State
21,21,21,21,URI,227,#091f3f,https://a.espncdn.com/i/teamlogos/ncaa/500/227.png,Rhode Island
22,22,22,22,WMU,2711,#532e1f,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,Western Michigan
23,23,23,23,SFPA,2598,#a20012,https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,St. Francis (PA)
24,24,24,24,CONN,41,#0c2340,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,UConn
25,25,25,25,NCSU,152,#cc0000,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,NC State
26,26,26,26,MINN,135,#5e0a2f,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,Minnesota
